NOMBRE DEL TALLER,CIUDAD BASE,DIRECCION,LINEAS QUE MANEJAN,COBERTURA INST AA Y LINEA BLANCA,CORREOS ELECTRONICOS,NUMEROS DE CONTACTO,LAT_VIZ,LON_VIZ
ELECTRONICA MANTILLA,AMBATO,QUIS QUIS Y ATAHUALPA,"TVS, INSTALACION DE AIRES, LINEA BLANCA, DISPENSADORES DE AGUA","COTOPAXI ,NAPO, PASTAZA,  MORONA   TUNGURAHUA",luismantilla1@yahoo.es emantillacentro@yahoo.es  electronicamantillaec@gmail.com,0984139099  0983411212,-1.2451277097972306,-78.6372929488406
ST COLD,DURAN,CDLA CARLOS CARRERA MZA S11  OFC. VILLA CLUB NATURA MZ 9 V22,"INSTALACION DE AIRES, LINEA BLANCA, DISPENSADORES DE AGUA",GUAYAQUIL Y  DURAN,henrygave@live.com    cold_t_s@hotmail.com,0989842610 servicio técnico,-2.1677324920567083,-79.81296599615256
MULTISERVICIOS JACK,EL COCA,"EL COCA, CALLE NAPO Y SERGIO SAENZ","TVS, INSTALACION DE AIRES, LINEA BLANCA, DISPENSADORES DE AGUA","PROVINCIA ORELLANA, EL COCA, SACHA, LORETO, DAYUMA Y SUS PARROQUIAS",multiserviciosjack2018@gmail.com / joselazo1978@hotmail.com,0939407412 / 0990659802,-0.4756350210588499,-76.99039423416284
JR ELECTRIC,GUAYAQUIL,PORTETE 6608 Y CALLE 40,"INSTALACION DE AIRES, LINEA BLANCA","GUAYAQUIL, VÍA DAULE, VÍA SALITRE, VIA SAMBORONDON, DURAN",jr.electric.sa@gmail.com,"0959628723 COORDINACION, POST ATENCION 0959925883",-2.180109570889242,-79.91501482660769
SERVIAIRE ECUADOR,GUAYAQUIL,KM 5 1/2 VIA A DAULE,INSTALACION DE AIRES,"GUAYAQUIL, LA PUNTILLA DE SAMBORONDON, CHONGON Y DURAN",gerencia@serviaireecuador.com soporte@serviaireecuador.com instalaciones@serviaireecuador.com tclinstalaciones@serviaireecuador.com,-0990965410  -0990980569   -0967888513  -0999400253,-2.18286584464475,-79.92246179155522
MULTITECH RUDY  CEDENO,GUAYAQUIL,GUASMO SUR,"TVS, INSTALACION DE AIRES, LINEA BLANCA, DISPENSADORES DE AGUA,","GUAYAS , LOS  RIOS  Y PLAYAS SANTA ELENA",ordengomultitech@gmail.com gerentemultitech.ec@gmail.com,0967588262,-2.1693060007020755,-79.93316685320937
PROVATEC,GUAYAQUIL,CIUDADELA BELLAVISTA MZ 28 VILLA 8,INSTALACION DE AIRES,"Guayas, GUAYAQUIL cobertura Vía a la costa hasta Urbanización Terranostra pasado de la ubicacion se cobra viáticos al cliente;  Durán cobertura hasta Panorama y el Paseo Shopping pasado de la ubicacion se cobra viáticos al cliente;  Via a Daule cobertura hasta la altura de MABE pasado de la ubicacion se cobra viáticos al cliente;  Los cantones Daule, Milagro o según la ubicación que nos facilte el cliente se cobraría viáticos. Hay sectores en GUAYAQUIL que se verifica según la ubicación que nos envia el cliente si podemos o no ingresar por ser zonas de alto riesgo.",provatec2004@gmail.com,Coordinadora General Stefany Pérez 0992821856; Gerente técnico Ing. luis Valencia 0989394832 - 0990794814,-2.1615614386040636,-79.91220017476442
CLISERIN,GUAYAQUIL,Alborada 13va etapa Mz 25 villa 44,"TVS, INSTALACION DE AIRES, LINEA BLANCA, DISPENSADORES DE AGUA","GUAYAQUIL perímetro urbano, sector de Daule ciudadelas como la joya Villa club, vía salitre sector ciudadelas tales como Málaga valle norte etc. zona de ciudadelas  Samborondon como ciudad celeste la puntilla etc, sector Durán ( previa ubicación )",Serviciotecnico@cliserin.com; cesarusca@hotmail.com,"0963091210, 0995334382, 0997859588",-2.1631478829206343,-79.91304665302273
DIGICASLE CENTRO DIGITAL SA,GUAYAQUIL,Av Juan Tanca Marengo Coop GUAYAQUIL mz 19 sl 25 junto Megaprin,"TVS, INSTALACION DE AIRES",COBERTURA SIN COSTO: GUAYAQUIL CON LOS SIGUIENTES LIMITES: VIA SAMBORONDON SOLO URBANIZACIONES ; VIA SALITRE HASTA ARBOLETA ; VIA A LA COSTA HASTA ANTES DEL PEAJE ; VIA A DAULE HASTA LAGO DE CAPEIRA. ADEMÁS EN PROVINCIA DE SANTA ELENA: TODO SALINAS Y DESDE LIBERTAD HASTA BALLENITA,AIRES: coordinacion_aa@digitalcenter.ec ; asistentepdc@digitalcenter.ec supervisor_aa@digitalcenter.ec ; administracion@digitalcenter.ec TV: recepcion@digitalcenter.ec ; tecnico_taller@digitalcenter.ec ; coordinacion_aa@digitalcenter.ec ; administracion@digitalcenter.ec,098 0684211	Recepcion / Serv. Cliente Televisores ;       098 4360989 Coordinación Instalaciones ;          098 7662020 Repuestos y accesorios,-2.173720093908212,-79.93237150010846
PROSERVICIO SAS,GUAYAQUIL,Urdesa Mirtos 901 entre Higueras e Ilanes,INSTALACION DE AIRES,"Guayas, GUAYAQUIL, Daule, Lomas de Sargentillo, Isidro Ayora, Palestina, Salitre, Tarifa, Pedro Carbo.",1. dherrera.proservicio@gmail.com.  2. proservicios2@gmail.com,1. 0967550764  2. 0962703437. 3. 0962741035,-2.1803692085892443,-79.91847993565426
CLiMA FRIO,GUAYAQUIL,1 primer callejón y 0123.11va 12av,"INSTALACION DE AIRES, LINEA BLANCA, DISPENSADORES DE AGUA,",zona de daule ...toda la zona  Guayas ..... zona los ríos y la zona la peninsula,servfro2025@hotmail.com,0967899084--0984906337---0959544029,-2.1634396864683247,-79.92901750908378
CISTRONIC,GUAYAQUIL,Alcedo y Tungurahua,"TVS, INSTALACION DE AIRES, LINEA BLANCA, DISPENSADORES DE AGUA, Todo lo que  línea blanca",Solo GUAYAQUIL  dentro no zonas conflictivas,principal_cistronic@hotmail.com,0997898383-0985631197,-2.1812875832348575,-79.9195549939735
BOR AIR,GUAYAQUIL,Coop. Nueva Jerusalén 2,"INSTALACION DE AIRES, LINEA BLANCA, DISPENSADORES DE AGUA",Guayas  Duran  Daule,delgadojennifer0507@gmail.con,0995583678,-2.181855714975669,-79.91617600934023
REFRICLIMAMORAN,GUAYAQUIL,CIUDADELA VILLAS DEL REY,"INSTALACION DE AIRES, LINEA BLANCA",CIUDAD,REFRI.CLIMAMORAN21@GMAIL.COM,0968139739-0991035415,-2.178558392547057,-79.91488761976443
ELECTRÓNICA S.A,IBARRA,MANUEL DE LA CHICA NARVAEZ 8-63 Y PEDRO MONCAYO A MEDIA CUADRA DEL OBELISCO,TVS,NO ATENDEMOS ESTAS LINEAS,sam_repair@yahoo.com.mx,0994234714 - 0997400189,0.34742829057095154,-78.1197530707227
GAMASERVICES,LAGO AGRIO,LAGO AGRIO VIA AL COCA KM 19 PARROQUIA EL ENO BARRIO SANTA TERESITA DIAGONAL AL COLEGUIO JUAN JIMENEZ LOCAL DE CERAMICA CAFE ROTULO GAMASERVICES.,"TVS, INSTALACION DE AIRES, DISPENSADORES DE AGUA","SUCUMBIOS LAGO AGRIO,SHUSHUFINDY ,ORELLANA EL COCA JOYA DE LOS SACHAS LORETO.",davidsaltos2018@gmail.com frncobosquez@hotmail.com,0992897319 - 0997435150.,0.07321721551351516,-76.8877118084512
FRIO-STAR,LAGO AGRIO,VIA QUITO KM 2,"INSTALACION DE AIRES, LINEA BLANCA, DISPENSADORES DE AGUA","SUCUMBIOS(LAGO AGRO,SHUSHUFINDI,LUMBAQUI,CASCALES,TARAPOA,GENERAL FARFAN,ENO,SAN PEDRO DE LOS COFANES)",servi-frio.tec22@hotmail.com  mercylara0929@gmail.com,0997620929-0969202387,0.08520211591709281,-76.891113314479
RRSERVICENTERRYC,LOJA,Las pItas.  Tribuno 115_10 Entre fenix ybqv. 8 de diciembre,"TVS, LINEA BLANCA, DISPENSADORES DE AGUA,",Provincia de loja.  .. Provincia de zamora.  Hasta 120 kilo..,rrservicenter@gmail.com  davidrios-1529@hotmail.com,0987533656.    .. +593 98 938 2724,-3.98119600226015,-79.20976508131783
KLIMASMART,MACHALA,CDLA ALGARROBOS,"TVS, INSTALACION DE AIRES, LINEA BLANCA, DISPENSADORES DE AGUA","PROVINCIA DE EL ORO  (Machala, el guabo, pasaje, Sta Rosa, arenillas, Huaquillas, Piñas, Portovelo, Zaruma, balsas, etc","klimasmart@hotmail,com",0993647218-0985137360,-3.268598943470354,-79.94762362523792
SERVITEC - RONNY BARREZUETA,MANTA,MANTA CENTRO LOCAL 109 ENTRE CALLE 12 Y 13 AV7,"TVS, INSTALACION DE AIRES, LINEA BLANCA, DISPENSADORES DE AGUA","MANTA , ZONAS RURALES SAN MATEO SANTA MARIANITA , JARAMIJO CON VIATICOS",tecnico@sm.grupoherrera1.com,0982808932,-0.9586715523819032,-80.7170002742114
